text_index	folder_name	sentence_index	token_index	token_text	token_lemma	token_pos	token_entity
1	modelsgenvideo	1	1	Today	today	NOUN	DATE
1	modelsgenvideo	1	2	sharing	share	VERB	O
1	modelsgenvideo	1	3	first	first	ADJ	ORDINAL
1	modelsgenvideo	1	4	step	step	NOUN	O
1	modelsgenvideo	1	5	towards	towards	ADP	O
1	modelsgenvideo	1	6	spatial	spatial	ADJ	O
1	modelsgenvideo	1	7	intelligence	intelligence	NOUN	O
1	modelsgenvideo	1	8	AI	AI	PROPN	ORG
1	modelsgenvideo	1	9	system	system	NOUN	O
1	modelsgenvideo	1	10	generates	generate	VERB	O
1	modelsgenvideo	1	11	worlds	world	NOUN	O
1	modelsgenvideo	1	12	single	single	ADJ	O
1	modelsgenvideo	1	13	image	image	NOUN	O
1	modelsgenvideo	2	1	lets	let	VERB	O
1	modelsgenvideo	2	2	step	step	VERB	O
1	modelsgenvideo	2	3	image	image	NOUN	O
1	modelsgenvideo	2	4	explore	explore	VERB	O
1	modelsgenvideo	2	5	Beyond	beyond	ADP	O
1	modelsgenvideo	2	6	input	input	NOUN	O
1	modelsgenvideo	2	7	image	image	NOUN	O
1	modelsgenvideo	2	8	generated	generate	VERB	O
1	modelsgenvideo	2	9	Input	Input	PROPN	O
1	modelsgenvideo	2	10	Image	Image	PROPN	O
1	modelsgenvideo	2	11	World	World	PROPN	O
1	modelsgenvideo	2	12	GenAI	GenAI	PROPN	GPE
1	modelsgenvideo	2	13	tools	tool	NOUN	O
1	modelsgenvideo	2	14	make	make	VERB	O
1	modelsgenvideo	2	15	content	content	NOUN	O
1	modelsgenvideo	2	16	like	like	ADP	O
1	modelsgenvideo	2	17	images	image	NOUN	O
1	modelsgenvideo	2	18	videos	video	NOUN	O
1	modelsgenvideo	3	1	Generating	generate	VERB	O
1	modelsgenvideo	3	2	instead	instead	ADV	O
1	modelsgenvideo	3	3	improves	improve	VERB	O
1	modelsgenvideo	3	4	control	control	NOUN	O
1	modelsgenvideo	3	5	consistency	consistency	NOUN	O
1	modelsgenvideo	4	1	change	change	VERB	O
1	modelsgenvideo	4	2	make	make	VERB	O
1	modelsgenvideo	4	3	movies	movie	NOUN	O
1	modelsgenvideo	4	4	games	game	NOUN	O
1	modelsgenvideo	4	5	simulators	simulator	NOUN	O
1	modelsgenvideo	4	6	digital	digital	ADJ	O
1	modelsgenvideo	4	7	manifestations	manifestation	NOUN	O
1	modelsgenvideo	4	8	physical	physical	ADJ	O
1	modelsgenvideo	4	9	world	world	NOUN	O
1	modelsgenvideo	5	1	post	post	NOUN	O
1	modelsgenvideo	5	2	explore	explore	VERB	O
1	modelsgenvideo	5	3	generated	generate	VERB	O
1	modelsgenvideo	5	4	worlds	world	NOUN	O
1	modelsgenvideo	5	5	rendered	render	VERB	O
1	modelsgenvideo	5	6	live	live	VERB	O
1	modelsgenvideo	5	7	browser	browser	NOUN	O
1	modelsgenvideo	6	1	also	also	ADV	O
1	modelsgenvideo	6	2	experience	experience	VERB	O
1	modelsgenvideo	6	3	different	different	ADJ	O
1	modelsgenvideo	6	4	camera	camera	NOUN	O
1	modelsgenvideo	6	5	effects	effect	NOUN	O
1	modelsgenvideo	6	6	effects	effect	NOUN	O
1	modelsgenvideo	6	7	dive	dive	VERB	O
1	modelsgenvideo	6	8	classic	classic	ADJ	O
1	modelsgenvideo	6	9	paintings	painting	NOUN	O
1	modelsgenvideo	7	1	Finally	finally	ADV	O
1	modelsgenvideo	7	2	see	see	VERB	O
1	modelsgenvideo	7	3	creators	creator	NOUN	O
1	modelsgenvideo	7	4	already	already	ADV	O
1	modelsgenvideo	7	5	building	build	VERB	O
1	modelsgenvideo	7	6	models	model	NOUN	O
1	modelsgenvideo	8	1	turn	turn	NOUN	O
1	modelsgenvideo	8	2	explore	explore	VERB	O
1	modelsgenvideo	8	3	worlds	world	NOUN	O
1	modelsgenvideo	9	1	show	show	VERB	O
1	modelsgenvideo	9	2	worlds	world	NOUN	O
